Id,Expected
0,neutral
1,surprise
2,anger
3,neutral
4,anger
5,anger
6,non-neutral
7,non-neutral
8,surprise
9,neutral
10,anger
11,neutral
12,joy
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,non-neutral
19,non-neutral
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,non-neutral
28,anger
29,anger
30,anger
31,non-neutral
32,sadness
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,non-neutral
45,surprise
46,disgust
47,non-neutral
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,neutral
60,non-neutral
61,neutral
62,non-neutral
63,neutral
64,neutral
65,anger
66,neutral
67,surprise
68,surprise
69,joy
70,anger
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,surprise
77,non-neutral
78,joy
79,anger
80,non-neutral
81,surprise
82,neutral
83,joy
84,neutral
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,non-neutral
95,sadness
96,neutral
97,neutral
98,neutral
99,non-neutral
100,neutral
101,neutral
102,joy
103,non-neutral
104,joy
105,sadness
106,non-neutral
107,non-neutral
108,neutral
109,anger
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,surprise
121,neutral
122,surprise
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,joy
130,neutral
131,neutral
132,non-neutral
133,non-neutral
134,surprise
135,neutral
136,non-neutral
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,surprise
144,surprise
145,neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,surprise
151,non-neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,non-neutral
158,neutral
159,neutral
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,anger
166,sadness
167,sadness
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,disgust
174,non-neutral
175,sadness
176,non-neutral
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,sadness
183,neutral
184,neutral
185,surprise
186,surprise
187,neutral
188,sadness
189,neutral
190,non-neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,neutral
207,surprise
208,neutral
209,neutral
210,neutral
211,joy
212,non-neutral
213,non-neutral
214,neutral
215,neutral
216,neutral
217,non-neutral
218,neutral
219,anger
220,joy
221,neutral
222,neutral
223,surprise
224,neutral
225,anger
226,sadness
227,neutral
228,surprise
229,neutral
230,sadness
231,non-neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,surprise
239,non-neutral
240,neutral
241,anger
242,surprise
243,neutral
244,non-neutral
245,joy
246,neutral
247,neutral
248,sadness
249,non-neutral
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,disgust
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,joy
266,non-neutral
267,surprise
268,neutral
269,anger
270,neutral
271,non-neutral
272,anger
273,non-neutral
274,anger
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,non-neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
290,joy
291,non-neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,non-neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,sadness
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,joy
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,surprise
315,neutral
316,non-neutral
317,non-neutral
318,surprise
319,neutral
320,neutral
321,surprise
322,non-neutral
323,surprise
324,non-neutral
325,non-neutral
326,anger
327,sadness
328,neutral
329,non-neutral
330,neutral
331,non-neutral
332,anger
333,non-neutral
334,non-neutral
335,non-neutral
336,non-neutral
337,neutral
338,surprise
339,neutral
340,non-neutral
341,surprise
342,non-neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,non-neutral
349,non-neutral
350,neutral
351,neutral
352,non-neutral
353,surprise
354,neutral
355,neutral
356,neutral
357,surprise
358,non-neutral
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,non-neutral
370,non-neutral
371,non-neutral
372,joy
373,neutral
374,neutral
375,non-neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,joy
385,non-neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,sadness
392,non-neutral
393,non-neutral
394,non-neutral
395,surprise
396,non-neutral
397,neutral
398,non-neutral
399,surprise
400,surprise
401,joy
402,disgust
403,anger
404,joy
405,non-neutral
406,non-neutral
407,non-neutral
408,non-neutral
409,non-neutral
410,anger
411,non-neutral
412,neutral
413,non-neutral
414,neutral
415,non-neutral
416,sadness
417,sadness
418,neutral
419,non-neutral
420,neutral
421,neutral
422,neutral
423,non-neutral
424,neutral
425,neutral
426,non-neutral
427,non-neutral
428,non-neutral
429,neutral
430,surprise
431,neutral
432,neutral
433,surprise
434,neutral
435,neutral
436,non-neutral
437,neutral
438,neutral
439,neutral
440,surprise
441,non-neutral
442,non-neutral
443,neutral
444,anger
445,joy
446,non-neutral
447,sadness
448,non-neutral
449,joy
450,joy
451,neutral
452,neutral
453,surprise
454,neutral
455,neutral
456,non-neutral
457,neutral
458,neutral
459,joy
460,joy
461,non-neutral
462,neutral
463,neutral
464,joy
465,disgust
466,neutral
467,neutral
468,non-neutral
469,neutral
470,non-neutral
471,neutral
472,surprise
473,anger
474,neutral
475,non-neutral
476,non-neutral
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,non-neutral
489,non-neutral
490,neutral
491,non-neutral
492,surprise
493,anger
494,surprise
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,non-neutral
500,neutral
501,joy
502,joy
503,neutral
504,non-neutral
505,surprise
506,non-neutral
507,neutral
508,surprise
509,neutral
510,neutral
511,surprise
512,neutral
513,neutral
514,non-neutral
515,surprise
516,non-neutral
517,joy
518,surprise
519,neutral
520,joy
521,surprise
522,neutral
523,neutral
524,neutral
525,neutral
526,anger
527,neutral
528,neutral
529,neutral
530,non-neutral
531,non-neutral
532,neutral
533,neutral
534,surprise
535,joy
536,neutral
537,neutral
538,joy
539,non-neutral
540,surprise
541,non-neutral
542,neutral
543,non-neutral
544,neutral
545,neutral
546,neutral
547,joy
548,non-neutral
549,joy
550,neutral
551,neutral
552,non-neutral
553,joy
554,joy
555,disgust
556,neutral
557,neutral
558,surprise
559,neutral
560,non-neutral
561,neutral
562,surprise
563,non-neutral
564,surprise
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,non-neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,non-neutral
586,joy
587,neutral
588,neutral
589,neutral
